Frame: 28, ID: 3 Class: bird, Coor: 3425,1323,3497,1399
Frame: 28, ID: 4 Class: bird, Coor: 2490,1306,2599,1427
Frame: 28, ID: 5 Class: bird, Coor: 2164,1286,2333,1416
Frame: 28, ID: 8 Class: bird, Coor: 2138,1864,2158,1888
Frame: 28, ID: 9 Class: car, Coor: 2198,1881,2216,1907
Frame: 28, ID: 10 Class: clock, Coor: 2382,1879,2438,1943
Frame: 28, ID: 16 Class: car, Coor: 2078,1845,2099,1872
Frame: 28, ID: 31 Class: clock, Coor: 2655,1474,2816,1621
Frame: 28, ID: 34 Class: bird, Coor: 1910,1405,2078,1538
Frame: 28, ID: 35 Class: bird, Coor: 2753,673,2896,772
Frame: 28, ID: 36 Class: car, Coor: 2939,1711,3126,1799
Frame: 28, ID: 37 Class: car, Coor: 3760,2051,3838,2152
Frame: 29, ID: 3 Class: bird, Coor: 3425,1323,3497,1398
Frame: 29, ID: 4 Class: bird, Coor: 2490,1306,2599,1427
Frame: 29, ID: 5 Class: bird, Coor: 2166,1285,2335,1415
Frame: 29, ID: 8 Class: bird, Coor: 2138,1864,2158,1888
Frame: 29, ID: 9 Class: car, Coor: 2198,1881,2216,1907
Frame: 29, ID: 10 Class: clock, Coor: 2382,1879,2438,1943
Frame: 29, ID: 16 Class: car, Coor: 2078,1845,2099,1872
Frame: 29, ID: 31 Class: clock, Coor: 2654,1474,2816,1621
Frame: 29, ID: 34 Class: bird, Coor: 1914,1407,2083,1540
Frame: 29, ID: 35 Class: bird, Coor: 2753,673,2896,772
Frame: 29, ID: 37 Class: car, Coor: 3760,2051,3838,2152
Frame: 30, ID: 3 Class: bird, Coor: 3425,1324,3497,1399
Frame: 30, ID: 4 Class: bird, Coor: 2490,1306,2599,1427
Frame: 30, ID: 5 Class: bird, Coor: 2170,1283,2339,1414
Frame: 30, ID: 8 Class: bird, Coor: 2138,1864,2158,1888
Frame: 30, ID: 10 Class: clock, Coor: 2382,1879,2438,1944
Frame: 30, ID: 31 Class: clock, Coor: 2654,1474,2815,1621
Frame: 30, ID: 34 Class: bird, Coor: 1921,1410,2088,1540
Frame: 30, ID: 35 Class: bird, Coor: 2753,673,2896,772
Frame: 30, ID: 37 Class: car, Coor: 3760,2052,3838,2152
Frame: 31, ID: 3 Class: bird, Coor: 3425,1324,3497,1399
Frame: 31, ID: 4 Class: bird, Coor: 2490,1306,2602,1429
Frame: 31, ID: 5 Class: bird, Coor: 2172,1281,2342,1413
Frame: 31, ID: 8 Class: bird, Coor: 2138,1864,2158,1888
Frame: 31, ID: 10 Class: clock, Coor: 2382,1879,2438,1944
Frame: 31, ID: 31 Class: clock, Coor: 2655,1474,2815,1620
Frame: 31, ID: 34 Class: bird, Coor: 1926,1411,2092,1541
Frame: 31, ID: 36 Class: car, Coor: 2929,1706,3127,1799
Frame: 31, ID: 37 Class: car, Coor: 3759,2050,3839,2153
Frame: 32, ID: 3 Class: bird, Coor: 3425,1323,3497,1399
Frame: 32, ID: 4 Class: bird, Coor: 2490,1306,2600,1428
Frame: 32, ID: 5 Class: bird, Coor: 2177,1279,2343,1410
Frame: 32, ID: 10 Class: clock, Coor: 2381,1879,2439,1944
Frame: 32, ID: 29 Class: car, Coor: 3208,1850,3359,1966
Frame: 32, ID: 31 Class: clock, Coor: 2655,1474,2815,1620
Frame: 32, ID: 35 Class: bird, Coor: 2756,676,2894,771
Frame: 32, ID: 36 Class: car, Coor: 2922,1705,3121,1800
Frame: 32, ID: 37 Class: car, Coor: 3758,2049,3839,2153
Frame: 33, ID: 2 Class: bird, Coor: 2384,1113,2506,1238
Frame: 33, ID: 3 Class: bird, Coor: 3424,1323,3497,1399
Frame: 33, ID: 4 Class: bird, Coor: 2490,1305,2602,1429
Frame: 33, ID: 5 Class: bird, Coor: 2179,1277,2346,1409
Frame: 33, ID: 10 Class: clock, Coor: 2381,1879,2439,1944
