Frame: 28, Class: bird, Coor: 2491,1306,2599,1428
Frame: 28, Class: bird, Coor: 2169,1287,2329,1417
Frame: 28, Class: car, Coor: 3427,1324,3497,1399
Frame: 28, Class: bird, Coor: 2753,673,2897,772
Frame: 28, Class: car, Coor: 53,119,189,229
Frame: 29, Class: car, Coor: 3759,2052,3840,2153
Frame: 29, Class: car, Coor: 2382,1880,2439,1944
Frame: 29, Class: car, Coor: 2138,1864,2158,1889
Frame: 29, Class: car, Coor: 2655,1474,2815,1622
Frame: 29, Class: clock, Coor: 1908,1407,2091,1540
Frame: 29, Class: car, Coor: 2491,1307,2599,1427
Frame: 29, Class: bird, Coor: 2171,1286,2330,1416
Frame: 29, Class: car, Coor: 3424,1324,3498,1399
Frame: 29, Class: bird, Coor: 2753,674,2897,772
Frame: 29, Class: car, Coor: 59,122,194,232
Frame: 30, Class: car, Coor: 3760,2052,3839,2153
Frame: 30, Class: car, Coor: 2382,1880,2439,1945
Frame: 30, Class: car, Coor: 2139,1864,2158,1889
Frame: 30, Class: clock, Coor: 2655,1475,2816,1621
Frame: 30, Class: bird, Coor: 1914,1411,2097,1540
Frame: 30, Class: bird, Coor: 2491,1307,2599,1427
Frame: 30, Class: car, Coor: 2181,1283,2331,1415
Frame: 30, Class: car, Coor: 3425,1324,3498,1400
Frame: 31, Class: person, Coor: 3760,2050,3839,2154
Frame: 31, Class: car, Coor: 2931,1706,3125,1800
Frame: 31, Class: car, Coor: 2805,1610,2860,1671
Frame: 31, Class: car, Coor: 2654,1475,2816,1620
Frame: 31, Class: car, Coor: 2489,1306,2605,1431
Frame: 31, Class: car, Coor: 2400,1115,2486,1245
Frame: 32, Class: car, Coor: 3759,2049,3839,2153
Frame: 32, Class: car, Coor: 3199,1851,3369,1966
Frame: 32, Class: car, Coor: 2382,1880,2439,1945
Frame: 32, Class: car, Coor: 2930,1705,3109,1800
Frame: 32, Class: person, Coor: 2805,1611,2860,1670
Frame: 32, Class: car, Coor: 2655,1474,2817,1620
Frame: 32, Class: clock, Coor: 2491,1306,2599,1428
Frame: 32, Class: bird, Coor: 2185,1279,2336,1410
Frame: 32, Class: car, Coor: 3426,1323,3497,1399
Frame: 32, Class: car, Coor: 2400,1114,2490,1242
Frame: 32, Class: car, Coor: 2755,677,2896,771
Frame: 32, Class: car, Coor: 73,131,209,240
Frame: 33, Class: person, Coor: 3759,2049,3839,2153
Frame: 33, Class: car, Coor: 3198,1850,3364,1965
Frame: 33, Class: car, Coor: 2382,1880,2439,1945
Frame: 33, Class: car, Coor: 2925,1702,3096,1800
Frame: 33, Class: car, Coor: 2805,1611,2859,1669
Frame: 33, Class: car, Coor: 2656,1473,2816,1620
Frame: 33, Class: bird, Coor: 2489,1306,2605,1430
Frame: 33, Class: car, Coor: 3425,1323,3497,1399
Frame: 33, Class: clock, Coor: 2400,1113,2494,1238
Frame: 34, Class: car, Coor: 3759,2050,3839,2154
Frame: 34, Class: car, Coor: 3197,1849,3360,1964
Frame: 34, Class: car, Coor: 2382,1880,2439,1945
Frame: 34, Class: clock, Coor: 2924,1702,3094,1800
Frame: 34, Class: clock, Coor: 2654,1475,2817,1620
Frame: 34, Class: bird, Coor: 2188,1277,2340,1407
Frame: 34, Class: car, Coor: 3425,1323,3497,1399
Frame: 34, Class: car, Coor: 3641,934,3712,1005
Frame: 34, Class: car, Coor: 2753,677,2897,771
Frame: 35, Class: car, Coor: 3760,2051,3839,2155
Frame: 35, Class: car, Coor: 3197,1847,3355,1964
Frame: 35, Class: car, Coor: 2382,1880,2439,1945
Frame: 35, Class: car, Coor: 2139,1864,2158,1890
Frame: 35, Class: bird, Coor: 2923,1698,3093,1800
Frame: 35, Class: bird, Coor: 2654,1475,2818,1620
Frame: 35, Class: car, Coor: 2189,1275,2343,1407
Frame: 35, Class: clock, Coor: 3425,1323,3497,1400
Frame: 35, Class: car, Coor: 2754,677,2896,771
Frame: 36, Class: car, Coor: 3760,2051,3839,2155
Frame: 36, Class: car, Coor: 3195,1845,3354,1964
Frame: 36, Class: clock, Coor: 2382,1881,2439,1945
Frame: 36, Class: car, Coor: 2138,1864,2158,1890
Frame: 36, Class: car, Coor: 2922,1697,3092,1833
Frame: 36, Class: car, Coor: 2715,1652,2750,1692
Frame: 36, Class: person, Coor: 2654,1474,2816,1620
Frame: 36, Class: car, Coor: 2491,1307,2599,1429
Frame: 36, Class: car, Coor: 2190,1269,2345,1401
Frame: 36, Class: bird, Coor: 3425,1324,3498,1400
Frame: 36, Class: bird, Coor: 2400,1105,2502,1232
Frame: 36, Class: car, Coor: 2755,677,2896,771
Frame: 37, Class: car, Coor: 3760,2052,3839,2154
Frame: 37, Class: car, Coor: 3194,1844,3352,1963
Frame: 37, Class: clock, Coor: 2382,1881,2439,1945
Frame: 37, Class: car, Coor: 2139,1864,2158,1890
Frame: 37, Class: car, Coor: 2926,1698,3085,1833
Frame: 37, Class: car, Coor: 2715,1652,2750,1692
Frame: 37, Class: bird, Coor: 2654,1475,2817,1620
Frame: 37, Class: car, Coor: 2491,1306,2599,1429
Frame: 37, Class: car, Coor: 2191,1268,2347,1401
Frame: 37, Class: clock, Coor: 3425,1323,3498,1400
Frame: 37, Class: bird, Coor: 3641,934,3712,1005
Frame: 37, Class: car, Coor: 2511,337,2558,414
Frame: 38, Class: car, Coor: 3760,2052,3839,2154
Frame: 38, Class: car, Coor: 3200,1841,3350,1957
Frame: 38, Class: car, Coor: 2382,1881,2439,1944
Frame: 38, Class: car, Coor: 2925,1697,3082,1833
Frame: 38, Class: car, Coor: 2714,1652,2750,1691
Frame: 38, Class: bird, Coor: 2655,1475,2817,1621
Frame: 38, Class: car, Coor: 2491,1306,2599,1429
Frame: 38, Class: clock, Coor: 3425,1324,3498,1400
Frame: 38, Class: car, Coor: 2193,1267,2349,1400
Frame: 38, Class: car, Coor: 1549,1048,1632,1199
Frame: 38, Class: clock, Coor: 3641,935,3712,1005
Frame: 39, Class: car, Coor: 3759,2052,3840,2153
Frame: 39, Class: car, Coor: 3191,1842,3346,1957
Frame: 39, Class: clock, Coor: 2382,1881,2439,1945
Frame: 39, Class: car, Coor: 2917,1695,3086,1830
Frame: 39, Class: car, Coor: 2715,1652,2750,1691
Frame: 39, Class: person, Coor: 2655,1478,2818,1619
Frame: 39, Class: car, Coor: 2491,1306,2599,1429
Frame: 39, Class: car, Coor: 2195,1265,2351,1401
Frame: 39, Class: bird, Coor: 3425,1323,3498,1400
Frame: 39, Class: car, Coor: 1549,1052,1634,1205
Frame: 39, Class: clock, Coor: 3641,935,3712,1005
Frame: 40, Class: car, Coor: 3190,1841,3343,1957
Frame: 40, Class: clock, Coor: 2382,1881,2439,1945
Frame: 40, Class: car, Coor: 2139,1864,2158,1890
Frame: 40, Class: car, Coor: 2080,1847,2099,1872
Frame: 40, Class: car, Coor: 2915,1693,3084,1828
Frame: 40, Class: car, Coor: 2715,1652,2749,1690
Frame: 40, Class: bird, Coor: 2655,1478,2817,1619
Frame: 40, Class: person, Coor: 1992,1441,2159,1564
Frame: 40, Class: car, Coor: 2491,1307,2599,1429
Frame: 40, Class: bird, Coor: 3424,1323,3498,1400
Frame: 40, Class: car, Coor: 2198,1262,2352,1400
Frame: 41, Class: car, Coor: 3200,1839,3344,1956
Frame: 41, Class: car, Coor: 2382,1881,2439,1945
Frame: 41, Class: car, Coor: 2911,1694,3083,1827
Frame: 41, Class: car, Coor: 2714,1652,2749,1690
Frame: 41, Class: bird, Coor: 2654,1477,2818,1619
Frame: 41, Class: car, Coor: 2491,1307,2600,1429
Frame: 41, Class: clock, Coor: 3424,1324,3498,1400
Frame: 41, Class: car, Coor: 2201,1261,2354,1399
Frame: 41, Class: clock, Coor: 3642,934,3712,1006
Frame: 42, Class: car, Coor: 3200,1839,3343,1955
Frame: 42, Class: car, Coor: 2382,1881,2439,1945
Frame: 42, Class: car, Coor: 2909,1692,3081,1827
Frame: 42, Class: car, Coor: 2714,1652,2750,1691
Frame: 42, Class: car, Coor: 2653,1475,2818,1619
Frame: 42, Class: bird, Coor: 1998,1442,2178,1568
Frame: 42, Class: person, Coor: 2492,1306,2599,1428
Frame: 42, Class: car, Coor: 3424,1323,3498,1400
Frame: 42, Class: car, Coor: 2203,1258,2356,1398
Frame: 42, Class: car, Coor: 1552,1062,1636,1215
Frame: 42, Class: car, Coor: 2756,675,2895,772
Frame: 43, Class: car, Coor: 3179,1839,3336,1955
Frame: 43, Class: car, Coor: 2383,1881,2438,1945
Frame: 43, Class: car, Coor: 2907,1689,3078,1826
Frame: 43, Class: car, Coor: 2714,1652,2750,1691
Frame: 43, Class: clock, Coor: 2654,1476,2817,1621
Frame: 43, Class: car, Coor: 2004,1442,2180,1566
Frame: 43, Class: person, Coor: 2491,1307,2599,1429
Frame: 43, Class: clock, Coor: 3425,1323,3498,1400
Frame: 43, Class: car, Coor: 2206,1256,2357,1398
Frame: 43, Class: car, Coor: 3641,934,3712,1005
Frame: 43, Class: car, Coor: 2750,672,2890,770
Frame: 44, Class: car, Coor: 3179,1838,3332,1955
Frame: 44, Class: clock, Coor: 2383,1881,2438,1945
Frame: 44, Class: car, Coor: 2258,1900,2276,1927
Frame: 44, Class: car, Coor: 2197,1882,2217,1908
Frame: 44, Class: car, Coor: 2139,1864,2158,1891
Frame: 44, Class: car, Coor: 2905,1687,3076,1825
Frame: 44, Class: car, Coor: 2714,1652,2750,1691
Frame: 44, Class: bird, Coor: 2653,1475,2817,1621
Frame: 44, Class: person, Coor: 2007,1442,2185,1565
Frame: 44, Class: bird, Coor: 2491,1307,2599,1428
Frame: 44, Class: bird, Coor: 3425,1324,3497,1400
Frame: 44, Class: car, Coor: 2206,1253,2359,1396
Frame: 44, Class: car, Coor: 1553,1071,1642,1226
Frame: 44, Class: car, Coor: 2751,672,2889,771
Frame: 45, Class: car, Coor: 3178,1837,3329,1954
Frame: 45, Class: bird, Coor: 2383,1881,2438,1945
Frame: 45, Class: car, Coor: 2257,1900,2276,1927
Frame: 45, Class: bird, Coor: 2197,1882,2217,1908
Frame: 45, Class: clock, Coor: 2138,1864,2158,1890
Frame: 45, Class: clock, Coor: 2079,1847,2099,1873
Frame: 45, Class: car, Coor: 2018,1828,2041,1856
Frame: 45, Class: car, Coor: 2903,1686,3074,1823
Frame: 45, Class: car, Coor: 2714,1652,2750,1691
Frame: 45, Class: bird, Coor: 2654,1474,2817,1622
Frame: 45, Class: car, Coor: 2015,1444,2191,1570
